,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
235,Piso en venta en Calle de la Virgen del Camino,Zona Praza de Barcelos (Pontevedra Capital),290000,115,3.0,2.0,Planta: 2ª,En buen estado,0,1,1,0,Gas natural,1,0,0
236,"Piso en venta en Calle das Áreas, 5",Sabaris (Baiona),450000,104,4.0,2.0,Planta: 3ª,Reformado,0,1,0,1,No tiene,1,0,0
237,Piso en venta en Mondariz-Balneario,Mondariz-Balneario,76000,120,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Central,0,1,0
238,Piso en venta en Avenida Gatomorto,Parroquias Rurales (Pontevedra Capital),300000,110,3.0,1.0,Planta: Principal,En buen estado,0,1,0,0,Central,0,1,0
239,"Piso en venta en Calle de la Peregrina, cerca de Avenida de Vigo",Zona Praza de Barcelos (Pontevedra Capital),300000,110,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,No tiene,0,1,0
240,Piso en venta en Calle de Echegaray,Centro-Echegaray (Pontevedra Capital),380000,177,5.0,3.0,Planta: 4ª,En buen estado,0,1,0,1,Gas natural,1,1,0
241,"Apartamento en venta en Avenida de Lugo, cerca de Calle de las Viñas",A Seca-Os Salgueriños (Pontevedra Capital),159000,70,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,0,1
242,Apartamento en venta en Praza España-Zona Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),360000,94,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,0
243,Piso en venta en Calle del Rouco,Centro-Echegaray (Pontevedra Capital),560000,190,4.0,4.0,Planta: 3ª,En buen estado,0,1,0,1,Gas natural,1,0,0
244,Piso en venta en Cangas,Cangas,67500,50,1.0,1.0,Planta: Bajo,En buen estado,0,0,0,0,No tiene,0,0,0
245,Piso en venta en Ponteareas,Ponteareas,106000,110,3.0,1.0,Planta: 3ª,En buen estado,0,1,0,1,Central,0,0,1
246,"Piso en venta en Avenida de Benito Vigo, cerca de Calle Irida",A Estrada,75000,115,3.0,2.0,Planta: 2ª,A reformar,Entre 20 y 40€,0,1,1,Gasoil,0,0,0
247,Piso en venta en Rúa do Magnolio,Ponteareas,120000,97,3.0,2.0,Planta: 5ª,En buen estado,0,1,1,1,Gas individual,1,0,1
248,"Piso en venta en Travesía de Vigo, cerca de Callejón del Viso",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),130000,56,2.0,1.0,Planta: 9ª,En buen estado,50.00 euros.,1,0,1,Gas individual,0,0,1
249,Piso en venta en Calle de la Ciriña,A Seca-Os Salgueriños (Pontevedra Capital),215000,100,3.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
250,Apartamento en venta en Calle Becacina,Casablanca-Calvario (Distrito Casco Urbano. Vigo),179600,76,2.0,1.0,Planta: 3ª,En buen estado,0,1,0,1,Central,0,0,1
