,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
515,"Piso en venta en Calle La Cal, cerca de Calle Concepción Arenal",A Guarda,125000,93.0,3.0,2.0,Planta: 3ª,En buen estado,0,1,1,0,Gasóleo colectivo,1,0,0
516,Piso en venta en Calle Profesor Hermida,Sanxenxo,350000,112.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,1,1
517,Piso en venta en Benito Corbal,Zona Praza de Barcelos (Pontevedra Capital),305000,116.0,3.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Gas individual,1,0,0
518,Piso en venta en Centro - Echegaray,Zona Praza de Barcelos (Pontevedra Capital),245000,136.0,4.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Eléctrica,0,0,1
519,"Piso en venta en Avenida de Ramón Nieto, 503, cerca de Calle de Penis",Cabral-Candeán (Vigo),119000,77.0,1.0,2.0,Planta: 2ª,En buen estado,0,1,0,1,Gas individual,0,0,1
520,Piso en venta en Centro,Zona Praza de Barcelos (Pontevedra Capital),240000,94.0,3.0,2.0,Planta: 4ª,En buen estado,Entre 60 y 80€,1,1,1,Gas natural,1,0,0
521,Piso en venta en Teis,Teis (Vigo),140000,135.0,3.0,1.0,Planta: 1ª,En buen estado,40.00 euros.,1,0,0,Gas individual,0,0,0
522,Piso en venta en Sanxenxo,Sanxenxo,225000,100.0,3.0,2.0,,En buen estado,0,1,0,0,No tiene,0,1,1
523,Piso en venta en Calle de las Viñas,Poio (San Salvador),159000,79.0,2.0,2.0,,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,1,0,0
524,Piso en venta en Calle de Paulino Freire,Bouzas (Distrito Casco Urbano. Vigo),450000,165.0,5.0,3.0,Planta: 1ª,En buen estado,0,1,1,1,Gas individual,1,0,0
525,Piso en venta en Tui,Tui,120000,92.0,3.0,2.0,Planta: 2ª,En buen estado,0,0,1,0,Gas individual,0,0,0
526,"Piso en venta en Calle Nueva del Couso, 12",Calvario (O Rosal),85000,101.0,3.0,2.0,,En buen estado,Entre 20 y 40€,1,0,0,No tiene,1,1,0
527,Piso en venta en Chapela (San Fausto),Chapela (San Fausto). Municipio de Redondela,125000,104.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,1,0,Central,0,0,0
528,"Piso en venta en Calle de Rosalía de Castro, cerca de Avenida de Manuel del Palacio",Campo da Torre-Mollabao (Pontevedra Capital),375000,180.0,4.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,Gas individual,1,0,0
529,Apartamento en venta en Salceda de Caselas,Salceda de Caselas,105000,70.0,2.0,2.0,Planta: 2ª,En buen estado,45,1,0,0,Electrica,1,0,0
530,Piso en venta en Plaza Maior,Ponteareas,120000,100.0,3.0,2.0,Planta: 2ª,En buen estado,Entre 40 y 60€,1,1,1,Gas natural,1,0,0
531,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,128000,117.0,4.0,2.0,Planta: 3ª,En buen estado,0,1,0,0,No tiene,0,0,0
532,Piso en venta en Villagarcía de Arousa,Vilagarcía de Arousa,150000,113.0,4.0,2.0,Planta: 2ª,En buen estado,0,1,1,1,Central,1,0,0
533,Piso en venta en Avenida de Luis Rocafort,Sanxenxo,145000,51.0,1.0,1.0,Planta: 4ª,En buen estado,0,1,0,1,Eléctrica,1,0,0
534,Piso en venta en A Guarda,A Guarda,85000,68.0,3.0,1.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,1,0,0
535,Piso en venta en Rúa de Abeleira Menéndez,Casco Vello (Distrito Casco Urbano. Vigo),260000,114.0,3.0,1.0,Planta: 3ª,A reformar,0,0,1,0,Gas individual,0,0,1
536,Piso en venta en Calle de Rodrigo de Mendoza,Vilagarcía de Arousa,140000,142.0,3.0,2.0,Planta: 3ª,En buen estado,Entre 40 y 60€,0,1,1,No tiene,1,0,0
537,Piso en venta en Calle de Concepción Arenal,Cangas,220000,74.0,2.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
538,"Piso en venta en Avenida de Médico Ballina, 37",O Burgo-Campus Universitario (Pontevedra Capital),126000,65.0,2.0,1.0,,En buen estado,0,0,0,1,No tiene,1,0,0
539,Piso en venta en Núcleo Urbano,Cangas,170000,90.0,3.0,2.0,,En buen estado,0,0,0,1,No tiene,1,0,0
540,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,155000,100.0,3.0,2.0,Planta: 5ª,En buen estado,0,1,1,1,Central,0,0,0
541,Apartamento en venta en Loureiro Crespo,A Seca-Os Salgueriños (Pontevedra Capital),165000,78.0,2.0,2.0,Planta: 2ª,En buen estado,0,1,1,0,Gas natural,1,0,0
542,Piso en venta en Paseo de la Praia de Silgar,Adina (Santa María). Municipio de Sanxenxo,444000,90.0,3.0,2.0,,En buen estado,0,1,0,1,Individual,0,1,0
543,Piso en venta en Sanxenxo Playa,Sanxenxo,240000,66.0,2.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,No tiene,0,1,1
